Date;Log_GDP;Log_Cons;Log_Debt;Inflation;FFR
1982-01-01;10,658;10,193;9,532;0,076;0,142
1982-04-01;10,660;10,193;9,533;0,069;0,145
1982-07-01;10,653;10,196;9,572;0,058;0,110
1982-10-01;10,650;10,211;9,606;0,044;0,093
1983-01-01;10,661;10,218;9,634;0,036;0,087
1983-04-01;10,681;10,236;9,683;0,033;0,088
1983-07-01;10,698;10,250;9,712;0,025;0,095
1983-10-01;10,715;10,263;9,726;0,032;0,094
1984-01-01;10,731;10,268;9,749;0,046;0,097
1984-04-01;10,745;10,279;9,770;0,044;0,106
1984-07-01;10,752;10,284;9,798;0,043;0,114
1984-10-01;10,757;10,293;9,843;0,042;0,093
1985-01-01;10,765;10,308;9,859;0,036;0,085
1985-04-01;10,771;10,315;9,887;0,036;0,079
1985-07-01;10,784;10,331;9,906;0,034;0,079
1985-10-01;10,788;10,330;9,962;0,035;0,081
1986-01-01;10,792;10,334;9,973;0,031;0,078
1986-04-01;10,794;10,342;10,003;0,017;0,069
1986-07-01;10,801;10,357;10,027;0,017;0,062
1986-10-01;10,803;10,360;10,060;0,013;0,063
1987-01-01;10,807;10,357;10,064;0,020;0,062
1987-04-01;10,815;10,368;10,082;0,037;0,067
1987-07-01;10,821;10,377;10,089;0,042;0,068
1987-10-01;10,836;10,376;10,113;0,044;0,069
1988-01-01;10,838;10,391;10,125;0,040;0,067
1988-04-01;10,849;10,396;10,137;0,040;0,072
1988-07-01;10,852;10,403;10,144;0,041;0,080
1988-10-01;10,863;10,412;10,164;0,043;0,085
1989-01-01;10,870;10,414;10,172;0,047;0,094
1989-04-01;10,876;10,416;10,181;0,052;0,097
1989-07-01;10,881;10,423;10,191;0,047;0,091
1989-10-01;10,881;10,426;10,215;0,046;0,086
1990-01-01;10,884;10,426;10,229;0,052;0,083
1990-04-01;10,885;10,427;10,245;0,046;0,082
1990-07-01;10,884;10,428;10,263;0,056;0,082
1990-10-01;10,872;10,418;10,292;0,063;0,077
1991-01-01;10,865;10,412;10,310;0,053;0,064
1991-04-01;10,871;10,418;10,321;0,048;0,059
1991-07-01;10,873;10,421;10,347;0,039;0,056
1991-10-01;10,874;10,418;10,374;0,030;0,048
1992-01-01;10,884;10,434;10,389;0,029;0,040
1992-04-01;10,892;10,439;10,407;0,031;0,038
1992-07-01;10,899;10,447;10,420;0,031;0,033
1992-10-01;10,907;10,455;10,437;0,031;0,030
1993-01-01;10,906;10,457;10,442;0,032;0,030
1993-04-01;10,909;10,463;10,462;0,031;0,030
1993-07-01;10,911;10,472;10,467;0,028;0,031
1993-10-01;10,922;10,478;10,486;0,028;0,030
1994-01-01;10,929;10,487;10,488;0,025;0,032
1994-04-01;10,941;10,492;10,496;0,024;0,039
1994-07-01;10,944;10,497;10,498;0,029;0,045
1994-10-01;10,952;10,505;10,512;0,026;0,052
1995-01-01;10,954;10,506;10,518;0,028;0,058
1995-04-01;10,955;10,513;10,529;0,031;0,060
1995-07-01;10,961;10,519;10,526;0,027;0,058
1995-10-01;10,965;10,524;10,522;0,026;0,057
1996-01-01;10,971;10,531;10,540;0,028;0,054
1996-04-01;10,985;10,539;10,542;0,028;0,052
1996-07-01;10,991;10,542;10,548;0,029;0,053
1996-10-01;10,998;10,547;10,559;0,032;0,053
1997-01-01;11,000;10,553;10,559;0,029;0,053
1997-04-01;11,014;10,555;10,554;0,023;0,055
1997-07-01;11,024;10,569;10,554;0,022;0,055
1997-10-01;11,030;10,578;10,564;0,019;0,055
1998-01-01;11,037;10,586;10,568;0,015;0,055
1998-04-01;11,044;10,601;10,564;0,016;0,055
1998-07-01;11,054;10,611;10,553;0,016;0,055
1998-10-01;11,067;10,623;10,563;0,015;0,049
1999-01-01;11,072;10,629;10,562;0,017;0,047
1999-04-01;11,078;10,642;10,554;0,021;0,048
1999-07-01;11,088;10,650;10,550;0,023;0,051
1999-10-01;11,102;10,661;10,563;0,026;0,053
2000-01-01;11,091;10,663;10,542;0,033;0,057
2000-04-01;11,106;10,669;10,517;0,033;0,063
2000-07-01;11,104;10,675;10,506;0,035;0,065
2000-10-01;11,107;10,681;10,496;0,034;0,065
2001-01-01;11,101;10,682;10,506;0,034;0,056
2001-04-01;11,104;10,681;10,489;0,033;0,043
2001-07-01;11,097;10,681;10,496;0,027;0,035
2001-10-01;11,097;10,694;10,512;0,019;0,021
2002-01-01;11,103;10,694;10,517;0,012;0,017
2002-04-01;11,106;10,696;10,531;0,013;0,018
2002-07-01;11,107;10,700;10,540;0,016;0,017
2002-10-01;11,105;10,703;10,559;0,023;0,014
2003-01-01;11,103;10,700;10,556;0,030;0,013
2003-04-01;11,109;10,709;10,581;0,020;0,013
2003-07-01;11,122;10,719;10,589;0,022;0,010
2003-10-01;11,130;10,723;10,610;0,020;0,010
2004-01-01;11,136;10,732;10,622;0,018;0,010
2004-04-01;11,141;10,734;10,631;0,028;0,010
2004-07-01;11,147;10,743;10,636;0,027;0,014
2004-10-01;11,154;10,751;10,654;0,034;0,020
2005-01-01;11,162;10,754;10,666;0,030;0,025
2005-04-01;11,164;10,763;10,664;0,029;0,029
2005-07-01;11,169;10,768;10,664;0,038;0,035
2005-10-01;11,171;10,766;10,682;0,037;0,040
2006-01-01;11,182;10,774;10,696;0,037;0,045
2006-04-01;11,181;10,777;10,691;0,039;0,049
2006-07-01;11,180;10,780;10,691;0,033;0,053
2006-10-01;11,185;10,786;10,704;0,020;0,053
2007-01-01;11,184;10,788;10,710;0,024;0,053
2007-04-01;11,187;10,788;10,702;0,027;0,053
2007-07-01;11,190;10,792;10,709;0,023;0,051
2007-10-01;11,193;10,792;10,726;0,040;0,045
2008-01-01;11,189;10,792;10,746;0,041;0,032
2008-04-01;11,193;10,792;10,744;0,043;0,021
2008-07-01;11,184;10,781;10,788;0,053;0,019
2008-10-01;11,159;10,769;10,848;0,016;0,005
2009-01-01;11,147;10,766;10,887;-0,002;0,002
2009-04-01;11,143;10,759;10,924;-0,009;0,002
2009-07-01;11,144;10,763;10,951;-0,016;0,002
2009-10-01;11,152;10,759;10,978;0,015;0,001
2010-01-01;11,156;10,764;11,011;0,024;0,001
2010-04-01;11,163;10,770;11,037;0,018;0,002
2010-07-01;11,168;10,775;11,058;0,012;0,002
2010-10-01;11,171;10,779;11,084;0,012;0,002
2011-01-01;11,168;10,782;11,095;0,021;0,002
2011-04-01;11,173;10,781;11,092;0,033;0,001
2011-07-01;11,170;10,782;11,114;0,037;0,001
2011-10-01;11,179;10,781;11,139;0,033;0,001
2012-01-01;11,179;10,780;11,150;0,028;0,001
2012-04-01;11,182;10,779;11,160;0,019;0,002
2012-07-01;11,181;10,779;11,165;0,017;0,001
2012-10-01;11,179;10,780;11,180;0,019;0,002
2013-01-01;11,186;10,784;11,194;0,017;0,001
2013-04-01;11,187;10,785;11,187;0,014;0,001
2013-07-01;11,193;10,787;11,180;0,015;0,001
2013-10-01;11,199;10,793;11,197;0,012;0,001
2014-01-01;11,194;10,794;11,217;0,014;0,001
2014-04-01;11,204;10,802;11,211;0,021;0,001
2014-07-01;11,214;10,809;11,215;0,018;0,001
2014-10-01;11,216;10,818;11,229;0,012;0,001
2015-01-01;11,221;10,822;11,226;-0,001;0,001
2015-04-01;11,225;10,826;11,218;0,000;0,001
2015-07-01;11,227;10,831;11,213;0,002;0,001
2015-10-01;11,226;10,832;11,252;0,004;0,002
2016-01-01;11,228;10,836;11,267;0,010;0,004
2016-04-01;11,229;10,839;11,264;0,011;0,004
2016-07-01;11,234;10,843;11,269;0,012;0,004
2016-10-01;11,236;10,846;11,282;0,018;0,005
2017-01-01;11,242;10,854;11,271;0,026;0,007
2017-04-01;11,246;10,857;11,267;0,019;0,010
2017-07-01;11,251;10,862;11,279;0,019;0,012
2017-10-01;11,260;10,870;11,283;0,021;0,012
2018-01-01;11,265;10,874;11,301;0,022;0,015
2018-04-01;11,268;10,877;11,297;0,027;0,017
2018-07-01;11,272;10,879;11,306;0,026;0,019
2018-10-01;11,271;10,880;11,320;0,022;0,022
2019-01-01;11,278;10,883;11,321;0,016;0,024
2019-04-01;11,285;10,889;11,313;0,018;0,024
2019-07-01;11,294;10,898;11,339;0,017;0,022
2019-10-01;11,299;10,903;11,355;0,020;0,016
2020-01-01;11,287;10,887;11,352;0,021;0,013
2020-04-01;11,203;10,795;11,486;0,004;0,001
2020-07-01;11,276;10,878;11,492;0,012;0,001
2020-10-01;11,285;10,890;11,513;0,012;0,001
2021-01-01;11,300;10,913;11,515;0,019;0,001
2021-04-01;11,315;10,946;11,513;0,048;0,001
2021-07-01;11,322;10,953;11,492;0,052;0,001
2021-10-01;11,338;10,961;11,515;0,068;0,001
2022-01-01;11,330;10,957;11,516;0,080;0,001
2022-04-01;11,330;10,964;11,497;0,086;0,008
2022-07-01;11,336;10,966;11,496;0,083;0,022
2022-10-01;11,341;10,966;11,501;0,071;0,037
2023-01-01;11,342;10,972;11,487;0,057;0,045
2023-04-01;11,347;10,974;11,508;0,040;0,050
2023-07-01;11,356;10,979;11,523;0,036;0,053
2023-10-01;11,362;10,985;11,541;0,032;0,053
2024-01-01;11,365;10,989;11,551;0,032;0,053
2024-04-01;11,371;10,997;11,550;0,032;0,053
2024-07-01;11,377;11,004;11,561;0,027;0,053
2024-10-01;11,380;11,012;11,574;0,027;0,047
2025-01-01;11,366;11,001;11,552;0,027;0,043
2025-04-01;11,373;11,005;11,545;0,025;0,043
